,label,p_title,sent_length,word_length,Stops_ratio,Num_Punctuation,category_Berita,category_Ekonomi&Bisnis,category_Lain,category_Lifestyle,category_Olahraga,category_Otomotif,category_Religi,category_Selebriti&Entertainment,category_Teknologi,source_Kompas.com,source_detik.com,source_fimela.com,source_kapanlagi.com,source_liputan6.com,source_okezone.com,source_posmetro-medan.com,source_republika.co.id,source_sindonews.com,source_tempo.co,source_tribunnews.com,source_wowkeren.com
0,non-clickbait,masuk radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,10,5.8,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,non-clickbait,malaysia sudutkan ri isu kabut asap hingga invasi babi,9,5.1111111110000005,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,clickbait,viral driver ojol di bekasi antar pesanan makanan pakai sepeda,10,5.3,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,non-clickbait,kemensos salurkan rp m bagi korban kerusuhan sosial di papua,10,5.1,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,clickbait,terkait mayat bayi mengenaskan di tangerang seorang pria ditangkap polisi,10,6.4,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,non-clickbait,uang rp m yang raib di parkiran kantor gubernur sumut untuk honor tapd,13,4.461538462,0.23076923100000002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,non-clickbait,mpr amandemen uud tak akan melebar ke mana mana,9,4.333333333,0.5555555560000001,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,clickbait,muncul istana di tengah rekonsiliasi rusuh papua,7,6.0,0.28571428600000004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,non-clickbait,peringati tahun baru islam banyuwangi kembali gelar festival muharam,9,6.666666667,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,non-clickbait,wanita asal kendari nyaris diperkosa di jalanan makassar pelaku diburu,10,6.1,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,non-clickbait,hnw sebut gbhn jamin rencana pembangunan ri jangka panjang,9,5.555555556,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,clickbait,ada motor nyangkut di atas bambu di sleman kok bisa,10,4.2,0.6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,non-clickbait,jakpro jawab protes adhi karya soal tender proyek jis diberi ke wika,12,4.75,0.333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,clickbait,pesan gamblang poyuono menolak revisi uu kpk,7,5.428571429,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,non-clickbait,mayat di ladang tebu malang adalah begal dibunuh remaja yang dipalaknya,11,5.545454545,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,non-clickbait,jenguk bj habibie ketua dewan pers m nuh prosesnya positif bagus,11,4.909090909,0.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,non-clickbait,lokasi istana presiden ri di papua menit lewat jembatan holtekamp,10,5.6,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,non-clickbait,hiasan taman asia afrika di bandung rusak diterjang angin kencang,10,5.6,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,non-clickbait,polemik pb djarum dan kpai fadli zon mestinya bisa dimusyawarahkan,10,5.7,0.2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,non-clickbait,pengacara ajukan penangguhan penahanan kivlan zen,6,7.333333333,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,non-clickbait,seorang pria depresi bakar mobilnya sendiri di tempat pembuangan akhir,10,6.1,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,non-clickbait,eksepsi bassist boomerang hubert henry dalam kasus ganja ditolak hakim,10,6.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,non-clickbait,jenguk bj habibie di rspad kepala bppt beliau semangat recovery,10,5.4,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,non-clickbait,jk jenguk habibie di rspad gatot soebroto,7,5.0,0.14285714300000002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,non-clickbait,sebuah mobil tertimpa pohon di pondok indah pengemudi terluka,9,5.8888888889999995,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,non-clickbait,demokrat akan bangun museum dan art gallery sby ani di pacitan,11,4.727272727,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,non-clickbait,mendagri jamin pelaksanaan uu otsus di papua dilanjutkan,8,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,non-clickbait,kpk cegah ketua fraksi golkar melchias mekeng ke luar negeri,10,5.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,non-clickbait,tegaskan dukung pemerintah pd kami tak pernah kenal oposisi,9,5.666666667,0.333333333,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,non-clickbait,peredaran snack tanpa izin dibongkar omzet sebulan capai rp miliar,10,5.7,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,non-clickbait,mayat pria ditemukan di kalimalang bekasi diduga korban tenggelam,9,6.333333333,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,non-clickbait,pesan anak habibie ke penjenguk mohon dimengerti bapak perlu istirahat,10,6.1,0.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,non-clickbait,kpk curhat pencegahan korupsi tak dianggap banyak uang negara diselamatkan,10,6.5,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,non-clickbait,act inisiasi gerakan nasional indonesiadermawan,5,8.6,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,non-clickbait,demokrat dukung langkah jokowi bangun istana di papua,8,5.75,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,non-clickbait,menkum ham sudah kaji draf revisi uu kpk,8,4.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,non-clickbait,mpr gelar diskusi evaluasi pelaksanaan uud di yogyakarta,8,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,non-clickbait,detik detik lima kendaraan alami kecelakaan beruntun di cipularang,9,6.444444444,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
