,Unnamed: 0,label,p_title,sent_length,word_length,Stops_ratio,Num_Punctuation,category_Berita,category_Ekonomi&Bisnis,category_Lain,category_Lifestyle,category_Olahraga,category_Otomotif,category_Religi,category_Selebriti&Entertainment,category_Teknologi,source_Kompas.com,source_detik.com,source_fimela.com,source_kapanlagi.com,source_liputan6.com,source_okezone.com,source_posmetro-medan.com,source_republika.co.id,source_sindonews.com,source_tempo.co,source_tribunnews.com,source_wowkeren.com
0,0,non-clickbait,masuk radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,10,5.8,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,non-clickbait,malaysia sudutkan ri isu kabut asap invasi babi,8,5.1111111110000005,0.111111111,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,clickbait,viral driver ojol bekasi pesanan makanan pakai sepeda,8,5.3,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,3,non-clickbait,kemensos salurkan rp m korban kerusuhan sosial papua,8,5.1,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,clickbait,terkait mayat bayi mengenaskan tangerang pria ditangkap polisi,8,6.4,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,5,non-clickbait,uang rp m raib parkiran kantor gubernur sumut honor tapd,10,4.461538462,0.230769231,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,6,non-clickbait,mpr amandemen uud melebar,4,4.333333333,0.5555555560000001,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,clickbait,muncul istana rekonsiliasi rusuh papua,5,6.0,0.28571428600000004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,8,non-clickbait,peringati islam banyuwangi gelar festival muharam,6,6.666666667,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,non-clickbait,wanita kendari diperkosa jalanan makassar pelaku diburu,7,6.1,0.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,10,non-clickbait,hnw gbhn jamin rencana pembangunan ri jangka,7,5.555555556,0.222222222,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,11,clickbait,motor nyangkut bambu sleman,4,4.2,0.6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,12,non-clickbait,jakpro protes adhi karya tender proyek jis wika,8,4.75,0.333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,13,clickbait,pesan gamblang poyuono menolak revisi uu kpk,7,5.428571429,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,14,non-clickbait,mayat ladang tebu malang begal dibunuh remaja dipalaknya,8,5.545454545,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,15,non-clickbait,jenguk bj habibie ketua dewan pers m nuh prosesnya positif bagus,11,4.909090909,0.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,16,non-clickbait,lokasi istana presiden ri papua menit jembatan holtekamp,8,5.6,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,17,non-clickbait,hiasan taman asia afrika bandung rusak diterjang angin kencang,9,5.6,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,18,non-clickbait,polemik pb djarum kpai fadli zon mestinya dimusyawarahkan,8,5.7,0.2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,19,non-clickbait,pengacara ajukan penangguhan penahanan kivlan zen,6,7.333333333,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,20,non-clickbait,pria depresi bakar mobilnya pembuangan,5,6.1,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,21,non-clickbait,eksepsi bassist boomerang hubert henry ganja ditolak hakim,8,6.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,22,non-clickbait,jenguk bj habibie rspad kepala bppt beliau semangat recovery,9,5.4,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,23,non-clickbait,jk jenguk habibie rspad gatot soebroto,6,5.0,0.14285714300000002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,24,non-clickbait,mobil tertimpa pohon pondok indah pengemudi terluka,7,5.888888889,0.222222222,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,25,non-clickbait,demokrat bangun museum art gallery sby ani pacitan,8,4.727272727,0.272727273,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,26,non-clickbait,mendagri jamin pelaksanaan uu otsus papua dilanjutkan,7,6.125,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,27,non-clickbait,kpk cegah ketua fraksi golkar melchias mekeng negeri,8,5.1,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,28,non-clickbait,tegaskan dukung pemerintah pd kenal oposisi,6,5.666666667,0.333333333,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,29,non-clickbait,peredaran snack izin dibongkar omzet sebulan capai rp miliar,9,5.7,0.1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
